Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTests,Chrome 98.0.4758.102,,,2022-03-01 10:51:38,2022-03-01 10:53:22,1m - 44.112s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.102,,,2022-03-01 10:51:38,2022-03-01 10:51:50,11.514s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-01 10:51:40,2022-03-01 10:51:43,2.842s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 98.0.4758.102,,,2022-03-01 10:51:43,2022-03-01 10:51:44,1.477s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 98.0.4758.102,,,2022-03-01 10:51:44,2022-03-01 10:51:45,0.835s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 98.0.4758.102,,,2022-03-01 10:51:45,2022-03-01 10:51:46,0.675s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 98.0.4758.102,,,2022-03-01 10:51:46,2022-03-01 10:51:46,0.659s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 98.0.4758.102,,,2022-03-01 10:51:46,2022-03-01 10:51:48,1.852s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 98.0.4758.102,,,2022-03-01 10:51:48,2022-03-01 10:51:49,0.456s,PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-01 10:51:49,2022-03-01 10:51:50,1.174s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.102,,,2022-03-01 10:51:50,2022-03-01 10:51:57,7.270s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-01 10:51:50,2022-03-01 10:51:51,1.200s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 98.0.4758.102,,,2022-03-01 10:51:51,2022-03-01 10:51:52,1.124s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 98.0.4758.102,,,2022-03-01 10:51:52,2022-03-01 10:51:53,0.807s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 98.0.4758.102,,,2022-03-01 10:51:53,2022-03-01 10:51:54,0.670s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 98.0.4758.102,,,2022-03-01 10:51:54,2022-03-01 10:51:55,0.683s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 98.0.4758.102,,,2022-03-01 10:51:55,2022-03-01 10:51:56,1.423s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 98.0.4758.102,,,2022-03-01 10:51:56,2022-03-01 10:51:56,0.448s,PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-01 10:51:56,2022-03-01 10:51:57,0.665s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.102,,,2022-03-01 10:51:57,2022-03-01 10:52:05,8.075s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-01 10:51:57,2022-03-01 10:51:59,1.259s,PASSED
"navigateToUrl(""https://indmodsan.unit4.com/SDX_PSO/Login/Login.aspx?ReturnUrl=%2fSDX_PSO%2f"")",Chrome 98.0.4758.102,,,2022-03-01 10:51:59,2022-03-01 10:52:00,1.297s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_User name_ctl10name""), UserName)",Chrome 98.0.4758.102,,,2022-03-01 10:52:00,2022-03-01 10:52:01,0.792s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Client_ctl10client""), Client)",Chrome 98.0.4758.102,,,2022-03-01 10:52:01,2022-03-01 10:52:01,0.688s,PASSED
"setText(findTestObject(""Page_Login - Unit4 ERP/input_Password_ctl10password""), Password)",Chrome 98.0.4758.102,,,2022-03-01 10:52:01,2022-03-01 10:52:02,0.677s,PASSED
"click(findTestObject(""Page_Login - Unit4 ERP/Login_Button""))",Chrome 98.0.4758.102,,,2022-03-01 10:52:02,2022-03-01 10:52:03,1.478s,PASSED
"verifyElementPresent(findTestObject(""Page_Login - Unit4 ERP/td""), 0)",Chrome 98.0.4758.102,,,2022-03-01 10:52:03,2022-03-01 10:52:04,0.474s,PASSED
closeBrowser(),Chrome 98.0.4758.102,,,2022-03-01 10:52:04,2022-03-01 10:52:05,1.159s,PASSED
,,,,,,,
Test Cases/Login/Negative/Failed login,Chrome 98.0.4758.102,,,2022-03-01 10:52:05,2022-03-01 10:52:13,7.457s,PASSED
"openBrowser("""")",Chrome 98.0.4758.102,,,2022-03-01 10:52:05,2022-03-01 10:52:07,1.192s,PASSED
